title,tags
Dick Johnson Is Dead,documentaries kirsten johnson unknown cast united states as her father nears the end of his life  filmmaker kirsten johnson stages his death in inventive and comical ways to help them both face the inevitable 
Blood & Water,international tv shows  tv dramas  tv mysteries unknown director ama qamata  khosi ngema  gail mabalane  thabang molaba  dillon windvogel  natasha thahane  arno greeff  xolile tshabalala  getmore sithole  cindy mahlangu  ryle de morny  greteli fincham  sello maake ka ncube  odwa gwanya  mekaila mathys  sandi schultz  duane williams  shamilla miller  patrick mofokeng south africa after crossing paths at a party  a cape town teen sets out to prove whether a private school swimming star is her sister who was abducted at birth 
Ganglands,crime tv shows  international tv shows  tv action   adventure julien leclercq sami bouajila  tracy gotoas  samuel jouy  nabiha akkari  sofia lesaffre  salim kechiouche  noureddine farihi  geert van rampelberg  bakary diombera unknown country to protect his family from a powerful drug lord  skilled thief mehdi and his expert team of robbers are pulled into a violent and deadly turf war 
Jailbirds New Orleans,docuseries  reality tv unknown director unknown cast unknown country feuds  flirtations and toilet talk go down among the incarcerated women at the orleans justice center in new orleans on this gritty reality series 
Kota Factory,international tv shows  romantic tv shows  tv comedies unknown director mayur more  jitendra kumar  ranjan raj  alam khan  ahsaas channa  revathi pillai  urvi singh  arun kumar india in a city of coaching centers known to train india s finest collegiate minds  an earnest but unexceptional student and his friends navigate campus life 
Midnight Mass,tv dramas  tv horror  tv mysteries mike flanagan kate siegel  zach gilford  hamish linklater  henry thomas  kristin lehman  samantha sloyan  igby rigney  rahul kohli  annarah cymone  annabeth gish  alex essoe  rahul abburi  matt biedel  michael trucco  crystal balint  louis oliver unknown country the arrival of a charismatic young priest brings glorious miracles  ominous mysteries and renewed religious fervor to a dying town desperate to believe 
My Little Pony: A New Generation,children   family movies robert cullen  jos  luis ucha vanessa hudgens  kimiko glenn  james marsden  sofia carson  liza koshy  ken jeong  elizabeth perkins  jane krakowski  michael mckean  phil lamarr unknown country equestria s divided  but a bright eyed hero believes earth ponies  pegasi and unicorns should be pals   and  hoof to heart  she s determined to prove it 
Sankofa,dramas  independent movies  international movies haile gerima kofi ghanaba  oyafunmike ogunlano  alexandra duah  nick medley  mutabaruka  afemo omilami  reggie carter  mzuri united states  ghana  burkina faso  united kingdom  germany  ethiopia on a photo shoot in ghana  an american model slips back in time  becomes enslaved on a plantation and bears witness to the agony of her ancestral past 
The Great British Baking Show,british tv shows  reality tv andy devonshire mel giedroyc  sue perkins  mary berry  paul hollywood united kingdom a talented batch of amateur bakers face off in a 10 week competition  whipping up their best dishes in the hopes of being named the u k  s best 
The Starling,comedies  dramas theodore melfi melissa mccarthy  chris o dowd  kevin kline  timothy olyphant  daveed diggs  skyler gisondo  laura harrier  rosalind chao  kimberly quinn  loretta devine  ravi kapoor united states a woman adjusting to life after a loss contends with a feisty bird that s taken over her garden   and a husband who s struggling to find a way forward 
"Vendetta: Truth, Lies and The Mafia",crime tv shows  docuseries  international tv shows unknown director unknown cast unknown country sicily boasts a bold  anti mafia  coalition  but what happens when those trying to bring down organized crime are accused of being criminals themselves 
Bangkok Breaking,crime tv shows  international tv shows  tv action   adventure kongkiat komesiri sukollawat kanarot  sushar manaying  pavarit mongkolpisit  sahajak boonthanakit  suthipongse thatphithakkul  bhasaworn bawronkirati  daweerit chullasapya  waratthaya wongchayaporn  kittiphoom wongpentak  abhicha thanachanun  nophand boonyai  kittipong khamsat  arisara wongchalee  jaytiya naiwattanakul  pantipa arunwattanachai  panupan jantanawong  kungtap saelim  phumphat chartsuriyakiat  issara veranitinunt  keerati sivakuae  panjai sirisuwan  supranee charoenpol  suda chuenban  visaka banhansupavat  pitchatorn santinatornkul unknown country struggling to earn a living in bangkok  a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy 
Je Suis Karl,dramas  international movies christian schwochow luna wedler  jannis niew hner  milan peschel  edin hasanovi   anna fialov   marlon boess  victor boccard  fleur geffrier  aziz dyab  m lanie fouch   elizaveta maximov  germany  czech republic after most of her family is murdered in a terrorist bombing  a young woman is unknowingly lured into joining the very group that killed them 
Confessions of an Invisible Girl,children   family movies  comedies bruno garotti klara castanho  lucca picon  j lia gomes  marcus bessa  kiria malheiros  fernanda concon  gabriel lima  caio cabral  leonardo cidade  jade cardozo unknown country when the clever but socially awkward tet  joins a new school  she ll do anything to fit in  but the queen bee among her classmates has other ideas 
Crime Stories: India Detectives,british tv shows  crime tv shows  docuseries unknown director unknown cast unknown country cameras following bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations 
Dear White People,tv comedies  tv dramas unknown director logan browning  brandon p  bell  deron horton  antoinette robertson  john patrick amedori  ashley blaine featherson  marque richardson  giancarlo esposito united states students of color navigate the daily slights and slippery politics of life at an ivy league college that s not nearly as  post racial  as it thinks 
Europe's Most Dangerous Man: Otto Skorzeny in Spain,documentaries  international movies pedro de echave garc a  pablo azor n williams unknown cast unknown country declassified documents reveal the post wwii life of otto skorzeny  a close hitler ally who escaped to spain and became an adviser to world presidents 
Falsa identidad,crime tv shows  spanish language tv shows  tv dramas unknown director luis ernesto franco  camila sodi  sergio goyri  samadhi zendejas  eduardo y  ez  sonya smith  alejandro camacho  azela robinson  uriel del toro  g raldine baz n  gabriela roel  marcus ornellas mexico strangers diego and isabel flee their home in mexico and pretend to be a married couple to escape his drug dealing enemies and her abusive husband 
Intrusion,thrillers adam salky freida pinto  logan marshall green  robert john burke  megan elisabeth kelly  sarah minnich  hayes hargrove  mark sivertsen  brandon fierro  antonio valles  clint obenchain unknown country after a deadly home invasion at a couple s new dream house  the traumatized wife searches for answers   and learns the real danger is just beginning 
Jaguar,international tv shows  spanish language tv shows  tv action   adventure unknown director blanca su rez  iv n marcos   scar casas  adri n lastra  francesc garrido  stefan weinert  julia m ller  alicia chojnowski unknown country in the 1960s  a holocaust survivor joins a group of self trained spies who seek justice against nazis fleeing to spain to hide after wwii 
Monsters Inside: The 24 Faces of Billy Milligan,crime tv shows  docuseries  international tv shows olivier megaton unknown cast unknown country in the late 1970s  an accused serial rapist claims multiple personalities control his behavior  setting off a legal odyssey that captivates america 
Resurrection: Ertugrul,international tv shows  tv action   adventure  tv dramas unknown director engin altan d zyatan  serdar g khan  h lya darcan  kaan ta aner  esra bilgi   osman soykut  serdar deniz  cengiz co kun  reshad strik  hande suba   turkey when a good deed unwittingly endangers his clan  a 13th century turkish warrior agrees to fight a sultan s enemies in exchange for new tribal land 
Avvai Shanmughi,comedies  international movies k s  ravikumar kamal hassan  meena  gemini ganesan  heera rajgopal  nassar  s p  balasubrahmanyam unknown country newly divorced and denied visitation rights with his daughter  a doting father disguises himself as a gray haired nanny in order to spend time with her 
Go! Go! Cory Carson: Chrissy Takes the Wheel,children   family movies alex woo  stanley moore maisie benson  paul killam  kerry gudjohnsen  ac lim unknown country from arcade games to sled days and hiccup cures  cory carson s curious little sister chrissy speeds off on her own for fun and adventure all over town 
Jeans,comedies  international movies  romantic movies s  shankar prashanth  aishwarya rai bachchan  sri lakshmi  nassar india when the father of the man she loves insists that his twin sons marry twin sisters  a woman creates an alter ego that might be a bit too convincing 
Love on the Spectrum,docuseries  international tv shows  reality tv unknown director brooke satchwell australia finding love can be hard for anyone  for young adults on the autism spectrum  exploring the unpredictable world of dating is even more complicated 
Minsara Kanavu,comedies  international movies  music   musicals rajiv menon arvind swamy  kajol  prabhu deva  nassar  s p  balasubrahmanyam  girish karnad unknown country a tangled love triangle ensues when a man falls for a woman studying to become a nun   and she falls for the friend he enlists to help him pursue her 
Grown Ups,comedies dennis dugan adam sandler  kevin james  chris rock  david spade  rob schneider  salma hayek  maria bello  maya rudolph  colin quinn  tim meadows  joyce van patten united states mourning the loss of their beloved junior high basketball coach  five middle aged pals reunite at a lake house and rediscover the joys of being a kid 
